"Protein.Group","S_19_1","S_P1R2_3","S_19_3","C_P1R2_2","C_90_1","C_64Y_3","S_90_2","C_64_3","C_64_1","S_64Y_1","S_64Y_2","S_60_2","C_19_1","C_60_1","S_90_1","C_P1R2_3","S_64Y_2_2","C_90_2","S_60_3","S_64_1","C_90_3","S_90_2_2","S_64_2","C_P1R2_1","S_64_3","S_19_2","C_60_3","C_60_2","S_P1R2_2","C_64Y_2","C_64Y_1","C_19_2","C_64_2","S_60_1","C_19_3","S_P1R2_1"
"Montipora_capitata_HIv3___RNAseq.10207_t",28.5168672990313,27.7822736962281,28.0509119629334,28.5028467326999,28.0602036294895,28.550262635824,27.0260889268202,28.0657510586135,27.742324548792,26.5608316880771,26.9463052868701,26.6229401427303,26.5070189903021,26.8663411289142,28.073803088848,27.0565343603345,27.3618780654569,27.2222147277465,27.2910402622223,26.4567547126571,27.1864652079759,27.7444937897312,27.4703053691984,26.5469454320697,26.8004954017226,26.1625831009779,27.3653507460305,27.4089876391334,26.8135151423943,27.1612383142394,28.1125984267765,27.715635070844,26.9680799033608,27.0584651271921,26.5405573099371,26.8646481710699
"Montipora_capitata_HIv3___RNAseq.10831_t",20.9762970054491,22.3247859530498,19.6639343794799,21.8256108999762,20.3313821005566,21.9526381719242,21.5921127599964,21.4907951910536,21.7582494479989,20.6679842476172,20.5472705286485,21.6454062275452,20.5844072338819,21.2576626290612,21.9924424116231,20.2151050283953,21.7575119892884,20.7804873038899,20.2574255389987,20.4483123203066,21.4291536007536,21.3800435190444,21.1382513293609,20.3135773990072,21.3258548199021,20.7950612611728,19.9404110146329,20.7609340044864,20.5494929228326,20.8789256776541,21.0246921188203,21.7424073060528,21.0495228749023,19.7836981822134,20.8824411800764,22.3129232440915
"Montipora_capitata_HIv3___RNAseq.13700_t",NA,NA,18.6998381297122,NA,19.6290833120237,18.9034410432374,18.9278079764507,19.7500862251003,NA,19.0942979274973,NA,NA,NA,19.0265507959114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4452067351482,NA,NA,NA,NA,NA,18.8264776923429,19.0617587973688,NA
"Montipora_capitata_HIv3___RNAseq.13784_t",NA,NA,18.8744524511375,19.1720068582395,19.2462236259642,20.8069338470853,20.6574060113316,20.6347098109251,21.0655676653429,NA,19.4459948683228,19.2706372392665,20.7535745371343,19.8855110361303,20.1702030514836,19.6753427769575,19.4544186620478,20.6679874949149,19.8272377321247,19.8537836424068,20.5632820550218,19.8753874318311,20.5166818238004,19.7758437360198,20.0468384121727,19.3249187294267,19.2291958106209,20.0286495501597,NA,21.3098245077144,20.975558065283,20.5595885473585,20.3459623026672,19.0826123123414,19.7973777428032,19.5530723828248
"Montipora_capitata_HIv3___RNAseq.14659_t",18.6887301030479,19.6805557963405,19.2371753802863,18.5729898600105,19.4268568294541,18.3653757115699,NA,NA,NA,NA,NA,18.5222930934803,NA,NA,NA,21.0107698423871,20.0960657325292,NA,19.2489177935658,NA,NA,19.0699582585949,NA,18.6749201289582,NA,NA,20.6453616968238,19.6540645403361,NA,NA,NA,NA,NA,19.9917704203446,20.148042525412,NA
"Montipora_capitata_HIv3___RNAseq.14688_t",22.0769347926651,24.0388600614705,22.0310846220891,22.0147414223825,21.1560585348641,21.9367294954488,22.9525550843479,21.2728575571125,21.6693673677676,22.3567114777525,22.4090741619266,22.359322221979,21.6334130102911,21.7848647489332,22.634330488258,22.3792810536297,23.4356940388011,21.9018830444639,23.0926231167416,21.3582835088371,21.4630663141726,22.3091936338262,22.1494657187566,21.728477025827,22.2296329704908,22.5107376123263,22.6505134031508,22.0047123593389,22.1260047454436,21.6862965112795,22.4819488097464,22.1920213985545,21.6953758214165,22.6272804950325,22.1015576891212,22.6195257350142
"Montipora_capitata_HIv3___RNAseq.14934_t",25.3653576883629,25.1394862463484,24.789431059599,25.1101802823668,24.8439399269633,25.4731797999946,25.2878379054636,25.3219949601925,25.5060555925097,24.7809791251346,24.1091826462325,24.8750383619812,24.9573779625496,25.1627199996852,25.4451219735113,25.0359909495185,24.8735986231356,25.0497093159618,25.3579563840198,24.9932015269632,25.3689999386881,25.2011287120398,25.37495641314,25.567480801143,24.9271789001955,25.1119535707017,24.5799763724269,24.6592718955558,25.5610454964102,25.0458208071598,24.630762593026,25.2384987686294,24.9667970032573,24.8398899933676,24.7974502770453,25.2503394807921
"Montipora_capitata_HIv3___RNAseq.15131_t;Montipora_capitata_HIv3___RNAseq.50707_t;Montipora_capitata_HIv3___RNAseq.51098_t;Montipora_capitata_HIv3___RNAseq.52414_t;Montipora_capitata_HIv3___RNAseq.g12282.t1;Montipora_capitata_HIv3___RNAseq.g12283.t1;Montipora_capitata_HIv3___RNAseq.g12287.t1;Montipora_capitata_HIv3___RNAseq.g27325.t1;Montipora_capitata_HIv3___RNAseq.g29646.t1;Montipora_capitata_HIv3___RNAseq.g41634.t1;Montipora_capitata_HIv3___RNAseq.g8174.t1;Montipora_capitata_HIv3___RNAseq.g8269.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0180661793647,21.1921642633247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.1525_t",18.997328615507,NA,18.5682122130177,19.7457894013478,18.5151775480389,20.0328675088019,19.3450058638543,19.3198863862672,20.2105924264082,18.9916367110468,17.968174584833,19.5234497292736,19.4078398145532,19.8110167445024,18.7029924326744,18.4791379600117,18.151326595888,19.5515813064855,19.3812882685544,19.6678391941966,19.2378187038973,19.1546404430518,19.7863500018812,19.062592980728,19.3653574213508,18.4589382254963,18.8190852618535,19.8442661400814,19.8473916490985,19.9279222423081,20.4816368592129,19.5561829158445,19.8489712986584,18.188319448861,18.7898754772193,19.7654269395629
"Montipora_capitata_HIv3___RNAseq.1535_t",19.376803433212,21.6093222574618,19.7052079730937,21.760035645155,NA,22.9232228311545,22.4347872779682,22.5053846596344,19.7708184221274,20.0571552044828,NA,NA,19.6816538519862,NA,21.0698319309218,21.1995619722107,21.217403383866,20.9242972166851,22.1634626523285,NA,NA,22.0064705895543,NA,NA,NA,21.1990221179479,17.9156361584873,NA,NA,NA,NA,22.5606297418419,NA,20.8842963998211,NA,NA
