"Protein.Group","S_19_1","S_P1R2_3","S_19_3","C_P1R2_2","C_90_1","C_64Y_3","S_90_2","C_64_3","C_64_1","S_64Y_1","S_64Y_2","S_60_2","C_19_1","C_60_1","S_90_1","C_P1R2_3","S_64Y_2_2","C_90_2","S_60_3","S_64_1","C_90_3","S_90_2_2","S_64_2","C_P1R2_1","S_64_3","S_19_2","C_60_3","C_60_2","S_P1R2_2","C_64Y_2","C_64Y_1","C_19_2","C_64_2","S_60_1","C_19_3","S_P1R2_1"
"SymbC1.scaffold1.1062",20.9677034896518,20.7734650241767,20.9119330184542,21.0108150781228,20.4633971492204,21.5228183208249,21.0126668183406,21.5402172145478,21.0645187864504,21.3138502680546,NA,20.957532774072,20.3052664703125,21.349385311679,21.5641365782793,20.3811279631191,20.8469282692986,20.934360546623,21.1102830511738,NA,21.5856279200995,20.9881197580703,20.6265620565826,20.4282489812613,20.670878152556,20.8412367551013,NA,20.3924101921517,21.0225395102897,20.7270051386826,20.2502869952761,21.5672785068036,NA,NA,20.4392258457327,20.6360062216321
"SymbC1.scaffold1.1460",NA,20.4249651005266,NA,21.0197094875971,NA,19.2705050749122,20.1702119164088,19.9690990948634,19.0951209186295,NA,NA,20.1468144478276,NA,19.576115125448,NA,NA,NA,19.1236511345151,NA,19.3446849236118,19.6095863723584,20.5215392191528,20.2016271014879,NA,20.4435607617279,NA,19.9406011703876,20.2624077369521,19.3433864861249,NA,NA,NA,NA,NA,NA,19.9741075896524
"SymbC1.scaffold1.830",NA,NA,NA,18.8341975999116,18.4707494705613,NA,NA,18.2929644183366,NA,NA,NA,NA,NA,NA,NA,19.034255084048,NA,NA,NA,NA,NA,19.0595850862315,19.4784599432298,NA,NA,NA,18.2725378117849,NA,NA,NA,19.1036353441119,NA,NA,NA,19.1540530625811,NA
"SymbC1.scaffold1.927",NA,20.7705794139829,21.7856617896705,20.2751873081682,21.6685642073018,19.9333845904405,20.3689249623426,NA,NA,21.3594482382888,21.0926166652035,NA,NA,18.7033729279482,NA,20.2674488032993,20.9075856966591,20.1330697591758,NA,NA,NA,21.0114600025005,NA,20.8106065425836,NA,20.5721550258831,20.9328056907604,NA,NA,NA,NA,20.4486229903264,NA,20.5787115111593,20.833891293582,NA
"SymbC1.scaffold100.12",19.0277850422294,19.0422932764388,19.4908708251557,18.455669490833,19.7731128402608,18.9409118893747,19.1542530553162,19.2854709397289,NA,19.4693172560214,NA,NA,NA,NA,NA,NA,NA,18.6858499053779,NA,NA,NA,19.3900442826146,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8040661110852,NA,NA,NA,NA
"SymbC1.scaffold100.13;SymbC1.scaffold100.14",19.6379978920637,21.6311830518786,22.0433666106117,19.8815553826328,21.0346320763065,19.5688535175666,NA,NA,NA,22.5328408901202,21.8379949271638,21.8916488335506,NA,21.4422286300356,NA,19.3549020126561,20.449632552423,NA,21.0519148689664,NA,NA,NA,NA,20.5186862885068,NA,22.1861128790328,22.8089794887714,22.0075582382273,NA,NA,NA,20.3849253426229,NA,22.3849929069973,NA,NA
"SymbC1.scaffold100.19",NA,NA,NA,16.647397269672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold100.9",NA,NA,18.9761010059037,NA,19.2924782135482,NA,20.1545274978974,NA,NA,NA,20.7429261527067,NA,17.3687696703427,NA,NA,NA,NA,19.0335596149361,17.7451584144302,NA,18.4835200982211,18.3879957313942,NA,19.7757399716287,NA,18.7706679252004,NA,NA,NA,18.5706892262319,18.7967603119608,18.8604241627071,18.6429014665418,NA,18.4483358907223,NA
"SymbC1.scaffold1003.5",20.342451397021,NA,19.2741349769185,20.485541043698,19.6660902612016,20.4530360943994,NA,20.7397420915821,19.4688657547828,NA,NA,NA,17.2578027355751,NA,NA,NA,NA,20.5514925955277,NA,NA,18.9163156688077,20.1561137910683,NA,19.0100755946739,NA,19.2213384215591,NA,17.5022236040206,NA,19.632762619731,NA,20.4256454202474,NA,NA,NA,NA
"SymbC1.scaffold10035.1",NA,NA,NA,19.2585814164978,19.5258550691728,19.5681386709146,NA,19.5272314330862,NA,20.3116037892967,19.4760750987763,NA,NA,NA,19.1904943158678,NA,18.9976568984712,NA,18.4122173248548,NA,NA,NA,18.485843677457,19.7738139033479,NA,19.2052780983742,20.0812755366448,NA,18.6584012028994,NA,18.2079388261151,19.226541256119,NA,20.2187295077782,19.5735193747981,18.6534254730454
"SymbC1.scaffold10035.2",NA,18.8844531995879,20.1575088489967,19.9046355403441,20.7941976952848,19.720869329848,19.5331417265402,20.8110696779357,19.1398902623392,19.9557000085126,19.7142422680093,19.2302323096464,18.5051249967062,19.794777065266,NA,18.865524018598,NA,20.163904376181,NA,NA,20.1862055418728,19.7287972087595,NA,20.3969134636489,19.4054964971621,19.933501297013,19.8233113540936,19.4330739559134,NA,19.8864038055743,NA,18.3728404894709,20.0554626724051,19.8256001284909,19.5783895075442,NA
"SymbC1.scaffold10059.2",20.4616691592421,21.6234760893513,22.1026610400499,24.027106700308,23.3423940190087,20.8827989096934,22.7547686636271,21.0102035075156,18.9808037613553,21.5779854041906,21.5573394725073,21.6630924552894,18.7329400952004,20.6974401880781,22.9200698517718,22.3740589546174,21.1799320145271,21.5157052514983,23.2698027041172,22.7603330621059,22.5253567567884,23.0076530156471,20.4147307786142,24.1989759723079,20.4762615413256,21.7898186765981,22.2813530621738,21.4581367275355,23.0984889973748,21.0592322212575,NA,21.1181737122295,22.4100079669466,22.1225070120208,21.6396777630356,19.7687800885001
"SymbC1.scaffold1014.4",19.3451635994494,NA,20.1875778572475,20.2085575134541,20.3063302812197,19.3994332269896,NA,19.6017773613616,NA,18.7867542981242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4720511979519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SymbC1.scaffold10168.2",NA,NA,19.6567763862328,18.6829240950167,18.4962272007863,NA,19.3391124886866,NA,NA,19.5419968605052,NA,NA,NA,NA,NA,NA,NA,19.2501565684536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.232541842353,NA,NA,NA,NA
"SymbC1.scaffold10199.1",21.2363262208171,20.1857169164258,20.781794320135,21.6396084376135,20.1744563851396,21.1268764772369,NA,21.4091016201714,20.8400573625584,21.1465722492127,NA,NA,NA,NA,21.220113030805,NA,NA,21.6144063365203,19.8591620442404,NA,21.0154587815116,21.1804224510933,20.8409839789791,NA,NA,NA,NA,NA,NA,NA,21.3022861024275,20.8899340093344,21.4634223454626,NA,NA,NA
"SymbC1.scaffold10199.2",19.5823073986186,NA,20.9593152747239,20.0885022940411,20.6021917369775,19.5869266954013,19.801483887234,20.1220955694167,18.982536085415,20.7654087281594,20.2490189549738,NA,19.0808448463888,NA,19.8288144170983,19.5892640177689,19.9944390722352,20.2151192517049,19.6877870114675,19.660217482604,NA,NA,19.3964397663844,20.8850887954246,19.6391455940267,20.994512013683,NA,NA,19.6020700541034,19.7864206995829,18.8486869270023,20.0551758385265,19.7417208426046,NA,20.2024192043059,NA
"SymbC1.scaffold1020.1",NA,18.5023496353894,19.9644251302887,NA,19.2543163149216,NA,NA,NA,NA,19.3180543900424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3821597332096,NA,19.6633065117425,NA,18.9318525719548,19.8886348478619,NA,NA,NA,NA,NA,NA,19.3335352342315,NA,NA
"SymbC1.scaffold1020.3",NA,21.5208331378695,NA,19.318257860856,21.413005728077,NA,19.4530558188025,19.1898346610584,NA,21.0143477870217,20.8016126543822,NA,NA,NA,NA,21.3429507470949,22.968710556452,NA,NA,NA,NA,20.8381714628567,NA,19.6214268056434,NA,19.5693922017903,NA,NA,NA,NA,NA,17.3979276142019,NA,NA,21.1326908103063,NA
"SymbC1.scaffold10206.1",NA,22.3042461669991,20.3471997506955,20.2105988172416,22.2848574160847,20.4775164342275,19.9123051677489,21.9238700423168,21.1397182415406,21.8738813178353,22.6085201475282,NA,NA,NA,20.6664899318405,22.6848091771049,24.1137091052654,20.5485619519766,19.6482444500652,NA,20.3244927582026,21.5397308192512,20.4647146218144,19.8531819888374,NA,21.2478128055071,NA,NA,NA,NA,NA,19.7567635680062,20.8316635765408,19.1918548807684,22.5138626235409,NA
"SymbC1.scaffold10224.2",20.5626204526135,20.980517729163,22.0708409327805,21.1877033446741,22.2785728151881,20.694944129087,20.7690484601985,20.9671692549966,19.1754408195978,21.3093067562397,21.6834347921008,21.2778628720542,NA,19.8288128679006,21.3726728666859,NA,21.410643106113,21.1053191700355,21.1989834635836,NA,20.8550146272195,21.5963701782162,20.3065527948022,21.4834465380313,NA,22.3529031049707,22.331305006767,20.9508854765331,NA,NA,NA,21.6510045962555,20.8666443960172,21.734149348614,22.4937617731415,20.1621374372141
"SymbC1.scaffold1024.4",21.4131436737289,24.7679232662069,22.9504605861372,24.677992704928,25.2137939558252,21.6086137669215,23.6311414112629,24.3657002242743,20.5119666238966,24.6681777737993,22.0512034633947,22.9093615430241,21.2390246366134,22.7525558273152,22.071575454938,21.5240362511009,21.7625760814974,22.5899389968885,22.2300274742324,21.3776417373943,22.2099609319329,24.3526749667961,21.6905178932942,23.1062630826091,21.3463140736469,25.1936258195455,26.1531643515664,24.9774552368757,21.5139269408923,21.6274666448644,20.0632497418772,22.6017058505471,21.9728010362478,22.5526795327701,25.3625141457205,21.2160171105701
"SymbC1.scaffold10242.1",21.2273180381337,21.0245538177026,21.9088810103458,21.2424828904437,21.2278632696983,20.8875227793151,21.2702150407871,21.2437059940141,20.00352288745,22.5773645140951,21.739625706842,NA,NA,NA,21.6791570513974,20.1179440900931,21.4196810739767,21.449385581105,21.65163805851,20.6525421628845,20.9566355575093,21.7059304784992,20.6821445264302,21.4157996540214,21.1434282140464,22.4837899508116,NA,NA,21.0542401286914,21.2318324555265,19.3330403962601,21.4020420507524,20.826847921195,NA,20.9278168359943,20.6709929801255
"SymbC1.scaffold10265.1",21.2187513803031,20.6023138627269,21.5082682215806,21.0882132188274,20.8198855453968,20.7199573590309,20.4460011807424,21.0414145147838,20.4564452876342,20.4206952829007,20.5286944686918,20.2854898479762,20.0651334101923,20.1377096067851,20.0310502850715,19.3939048171254,18.9867272531643,21.4330891145823,20.0665640513738,20.0811210947521,21.1254948226041,20.9072501092056,20.7678882191583,21.2042245534979,20.7442582855965,21.0836390350545,19.9715745132365,19.1517006818554,20.6204045392204,19.7369866102931,20.0297078079017,21.2488025853835,20.8524317834872,19.6685129196495,20.7608287561412,NA
"SymbC1.scaffold1028.14",NA,NA,NA,NA,18.2896722113491,18.3485003003757,NA,19.0919520022114,NA,NA,NA,NA,19.3342056224685,NA,NA,NA,18.6274119825423,18.9053408189567,NA,NA,19.6236122773902,NA,NA,18.6783246114844,18.8983544982929,NA,NA,NA,NA,NA,NA,18.4552678884999,19.0344485462786,NA,18.9970112014134,NA
"SymbC1.scaffold1029.2",20.1416494098133,20.3592401714012,20.9252547044326,20.1876384127114,20.485638448585,19.8257780902872,20.5132392952816,20.002938253178,19.2542719044689,20.1497534755819,NA,NA,19.1968030597851,NA,NA,19.7006283046355,20.3251651640446,20.3877724187697,20.0143338239335,19.8207377703978,20.1039535115872,20.6485974231145,20.0224898996694,20.8292809404037,19.7427395209616,20.6209228643612,NA,NA,20.0381696566079,NA,NA,19.6042002867894,19.3709746879505,NA,19.9540201894026,19.3617572132943
"SymbC1.scaffold1030.2",23.6716842369044,22.8385045610224,23.8957864143196,23.6814480771194,23.1311591002363,22.8735772216797,23.4554483850786,23.6269765025838,22.7756711595675,23.3032475818242,22.8907682094385,22.3091154839601,23.477183756065,21.8008015749366,23.3061279031313,22.0315184773267,22.8357895380456,24.0499641794612,23.0245683585416,23.1825072595928,23.4239908087789,23.457828976204,23.5399443471072,23.6248580243841,22.7262644213144,23.867268086321,22.7853488936626,22.1733913672413,22.9805943411515,23.2824961562397,22.7739975641903,23.332122619842,23.3919059160783,22.7695653816239,23.3160750190836,22.9753247890329
"SymbC1.scaffold10339.1",27.8662614104947,27.6299622054348,28.0967786814393,27.6987577531748,27.040681692834,27.1302410843634,27.927555999102,27.0236448935066,26.3768591940389,28.1133075469972,27.1128460779964,NA,26.5850773805579,NA,28.3163117809517,26.2755583270663,27.1603337059862,27.6376477324841,27.7586235760884,28.1460320884141,26.7737546561719,28.0076540420833,27.4078654814845,27.5559198369852,27.5980385248947,28.3871569801014,NA,NA,27.9767071894995,27.238988205156,25.7154571293725,27.4435361014556,27.3872811144829,NA,26.5119343012445,27.5705906812632
"SymbC1.scaffold10348.2",18.8502897716459,NA,NA,17.2628183221153,17.7165387877734,17.2296414776575,16.9656323815881,19.5706620141342,17.8553099225595,NA,NA,NA,NA,NA,NA,NA,NA,20.3399095203936,NA,NA,18.8247927174695,17.6863613848393,17.9569727878689,19.2819403530608,NA,19.2267398264621,NA,NA,NA,19.6705376129294,NA,18.4553866750988,19.4012439852987,NA,18.0861124086353,NA
