Protein.Group,log2FC,AveExpr,t,P.Value,adj.P.Val,B,Abundance,Blast_KOALA_KO,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,EggNOG_KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,Protein.Names,Gene.Names,Given_name
SymbC1.scaffold6029.2,5.167027164,21.9751081,-5.237411233,1.33E-05,0.01044372,3.135938221,up,K11262,55529.EKX48344,9.43E-276,844,"COG0439@1|root,KOG0368@2759|Eukaryota",2759|Eukaryota,I,acetyl-CoA carboxylase,ACC1,-,"2.1.3.15,6.3.4.14,6.4.1.2",ko:K11262,"ko00061,ko00254,ko00620,ko00640,ko01100,ko01110,ko01212,ko04152,ko04910,ko04922,map00061,map00254,map00620,map00640,map01100,map01110,map01212,map04152,map04910,map04922",M00082,"R00742,R04385,R04386","RC00040,RC00253,RC00367","ko00000,ko00001,ko00002,ko01000",-,-,-,"ACC_central,Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2,Carboxyl_trans",Acetyl-CoA carboxylase,ACC,ACC1
SymbC1.scaffold1569.3,-2.718901155,30.69558448,4.863457156,2.61E-05,0.013316616,2.535353484,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridinin-chlorophyll a-binding protein,,SymbC1.scaffold1569.3
SymbC1.scaffold10535.1;SymbC1.scaffold5913.2,-4.365241654,23.84940145,4.627051345,5.25E-05,0.016499062,1.900894145,down,K02719,55529.EKX46101,6.58E-37,131,"2D3K6@1|root,2S50I@2759|Eukaryota",2759|Eukaryota,S,Photosystem II 12 kDa extrinsic protein (PsbU),-,-,-,ko:K02719,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,PsbU,Photosystem II 12 kDa extrinsic protein,psbU,SymbC1.scaffold10535.1
SymbC1.scaffold10339.1,-2.861744273,27.40230211,4.643097603,6.92E-05,0.018231611,1.664453896,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncharacterized transmembrane protein,,SymbC1.scaffold10339.1
SymbC1.scaffold715.9,-2.534865651,23.90229177,4.252860348,0.000157194,0.030559176,0.908082997,down,,5850.PKH_143080,5.36E-31,138,"KOG4290@1|root,KOG4290@2759|Eukaryota,3YBYF@5794|Apicomplexa,3KEHV@422676|Aconoidasida,3YZ7R@5819|Haemosporida",422676|Aconoidasida,S,Rhodopsin-like GPCR transmembrane domain,-,-,-,-,-,-,-,-,-,-,-,-,GpcrRhopsn4,Transmembrane domain-containing protein,GPR180,SymbC1.scaffold715.9
SymbC1.scaffold10620.1;SymbC1.scaffold5079.2,-4.013744117,24.06001032,3.872736654,0.000468393,0.050992406,-0.078307547,no difference,,44056.XP_009038907.1,1.19E-34,135,"2BC5E@1|root,2S0ZD@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,LHCA5,-,-,ko:K08907,"ko00196,map00196",-,-,-,"ko00000,ko00001,ko00194",-,-,iRC1080.CRv4_Au5_s12_g3249_t1,Chloroa_b-bind,NA,NA,LHCA5
SymbC1.scaffold1520.6,-2.874207851,23.48728795,3.918600231,0.000502738,0.05246827,-0.101513823,no difference,K02641,4555.Si017629m,1.26E-99,314,"COG0369@1|root,KOG1158@2759|Eukaryota,37JZ3@33090|Viridiplantae,3GE7W@35493|Streptophyta,3KNTS@4447|Liliopsida,3IFK5@38820|Poales",35493|Streptophyta,C,Ferredoxin--NADP reductase,-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035,GO:0098796,GO:0098807",1.18.1.2,ko:K02641,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194,ko01000",-,-,-,"FAD_binding_6,NAD_binding_1",NA,NA,SymbC1.scaffold1520.6
SymbC1.scaffold674.12,2.128939589,21.52319207,-3.76001371,0.000665054,0.05902356,-0.384881014,no difference,K02997,5811.TGME49_048480,2.49E-96,284,"COG0522@1|root,KOG3301@2759|Eukaryota,3Y9X2@5794|Apicomplexa,3YIEX@5796|Coccidia,3YSBC@5809|Sarcocystidae",5794|Apicomplexa,J,Belongs to the universal ribosomal protein uS4 family,-,-,-,ko:K02997,"ko03010,map03010",M00177,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"Ribosomal_S4,S4",NA,NA,SymbC1.scaffold674.12
SymbC1.scaffold279.9,2.342010672,19.56818642,-3.876250293,0.000824669,0.062546932,-0.500457972,no difference,,554065.XP_005847116.1,1.07E-14,80.1,"28JPH@1|root,2QSMF@2759|Eukaryota,37Q51@33090|Viridiplantae,34KYC@3041|Chlorophyta",3041|Chlorophyta,S,PAP_fibrillin,-,-,-,-,-,-,-,-,-,-,-,-,PAP_fibrillin,NA,NA,SymbC1.scaffold279.9
SymbC1.scaffold3903.3,-3.65878992,24.25606668,3.687660213,0.000788777,0.062546932,-0.547473539,no difference,,159749.K0T193,7.24E-40,144,"2CDPH@1|root,2S5AH@2759|Eukaryota,2XCIH@2836|Bacillariophyta",2836|Bacillariophyta,P,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold3903.3
SymbC1.scaffold314.5,-2.665687022,21.56588244,3.691884177,0.000829846,0.062546932,-0.574063807,no difference,,227086.JGI_V11_90760,1.57E-63,227,"COG0676@1|root,KOG1594@2759|Eukaryota",2759|Eukaryota,G,glucose-6-phosphate 1-epimerase activity,-,-,5.1.3.15,ko:K01792,"ko00010,ko01100,ko01110,ko01120,ko01130,map00010,map01100,map01110,map01120,map01130",-,R02739,RC00563,"ko00000,ko00001,ko01000",-,-,-,Aldose_epim,NA,NA,SymbC1.scaffold314.5
